매칭된지하철역,00시_심야_탑승_추정,1시_심야_탑승_추정,2시_심야_탑승_추정,3시_심야_탑승_추정,4시_심야_탑승_추정,5시_심야_탑승_추정
강남,4358.0,10587.5,9693.0,8630.5,5418.0,628.0
강변(동서울터미널),817.0,1575.5,1824.5,1461.0,1571.0,841.0
건대입구,2713.0,6975.5,6421.0,4818.5,3294.5,584.0
교대(법원·검찰청),1009.0,2017.0,1267.5,1177.5,1146.5,301.0
구로디지털단지,1220.0,2300.0,2824.5,2636.5,2279.0,814.0
구의(광진구청),399.5,969.0,745.5,781.5,627.5,145.0
까치산,3141.0,6502.0,6240.0,4695.5,2518.5,288.5
낙성대,581.5,1312.5,986.5,912.5,830.5,236.5
당산,887.5,3417.0,2321.5,1899.0,1062.0,19.5
대림(구로구청),163.0,563.5,436.5,487.0,425.5,104.0
도림천,314.5,451.0,320.0,339.5,83.0,0.0
동대문역사문화공원,4055.0,11369.0,9101.5,9931.5,6694.5,410.5
뚝섬,333.5,493.5,399.5,375.5,220.0,0.0
문래,1300.0,3746.0,3716.0,2860.0,1488.5,72.0
방배,360.0,778.0,590.5,488.0,409.0,62.0
봉천,937.5,3537.5,2556.5,2480.0,1574.0,390.0
사당,1330.5,3083.0,2233.5,1879.5,1388.0,436.5
삼성(무역센터),1046.5,2415.5,2128.0,1863.5,1407.5,457.0
상왕십리,250.5,575.0,342.0,309.0,216.5,0.0
서울대입구(관악구청),1436.0,3259.0,2249.0,1711.0,1207.0,278.0
서초,541.0,999.0,758.0,628.0,594.0,230.5
선릉,1427.0,3522.0,3325.0,3223.5,2411.0,377.5
성수,777.5,913.5,751.0,493.0,365.0,1.5
시청,1802.5,3614.5,2898.5,2236.0,1913.0,93.5
신답,1996.0,5056.5,6233.5,5106.5,4142.5,1438.5
신당,665.5,1382.5,1132.0,1206.5,857.5,42.5
신대방,312.0,475.0,576.0,586.0,598.5,173.0
신도림,536.0,1220.5,936.0,892.0,765.0,153.0
신림,2158.0,7412.5,5803.0,5325.5,3518.5,802.0
신설동,6721.5,11139.0,14747.0,14004.5,8821.5,2110.0
신정네거리,1059.0,2731.5,3272.0,2087.0,1427.0,460.5
신촌,2075.0,4288.5,2972.5,2342.5,1331.5,169.5
아현,1229.5,4041.5,2727.5,2380.5,1600.0,156.5
양천구청,515.5,1248.5,2151.0,1849.0,1262.0,477.5
역삼,992.5,2237.0,2270.5,2080.0,1687.5,276.5
영등포구청,91.5,378.0,348.0,226.0,139.5,6.5
왕십리,640.5,1421.5,917.0,720.5,435.0,0.0
용답,701.0,1472.0,1189.5,1102.0,736.5,27.5
용두(동대문구청),5192.5,10416.0,13344.5,11731.0,8718.0,3614.0
을지로3가,2770.5,5877.5,5116.0,4802.5,2778.5,219.0
을지로4가,1332.5,3233.5,2789.0,2361.0,1533.0,117.5
을지로입구,2255.5,6144.0,5113.0,3872.5,2073.5,104.0
이대,980.5,2265.5,1764.5,1382.0,781.0,59.5
잠실(송파구청),2407.5,5675.5,6015.0,4367.0,2836.0,1112.0
잠실나루,1113.0,2480.0,2078.5,1693.5,1317.0,758.0
종합운동장,544.0,956.0,1024.5,846.5,413.0,110.0
충정로(경기대입구),2460.5,5287.0,3763.0,2923.5,2345.5,65.0
한양대,254.0,408.5,282.0,231.0,113.5,0.0
합정,1127.0,3753.0,2839.5,2359.0,1394.0,246.0
홍대입구,6809.5,16491.5,13633.0,10877.5,5959.5,1572.0
